Episode 1: Reward: 35.0, Length: 4450, Steps: 4450, Memory Length: 4450
Average Reward over 5 episodes: 27.4
Episode 2: Reward: 31.0, Length: 4423, Steps: 8873, Memory Length: 8873
Episode 3: Reward: 25.0, Length: 4426, Steps: 13299, Memory Length: 13299
Episode 4: Reward: 17.0, Length: 4425, Steps: 17724, Memory Length: 17724
Episode 5: Reward: 24.0, Length: 4445, Steps: 22169, Memory Length: 22169
Episode 6: Reward: 28.0, Length: 4420, Steps: 26589, Memory Length: 26589
Episode 7: Reward: 7.0, Length: 4444, Steps: 31033, Memory Length: 31033
Episode 8: Reward: 13.0, Length: 4445, Steps: 35478, Memory Length: 35478
Episode 9: Reward: 36.0, Length: 4451, Steps: 39929, Memory Length: 39929
Episode 10: Reward: 21.0, Length: 4441, Steps: 44370, Memory Length: 44370
Episode 11: Reward: 22.0, Length: 4431, Steps: 48801, Memory Length: 48801
Episode 12: Reward: 20.0, Length: 4441, Steps: 53602, Memory Length: 53242
Episode 13: Reward: 13.0, Length: 4435, Steps: 58529, Memory Length: 57677
Episode 14: Reward: 29.0, Length: 4463, Steps: 63488, Memory Length: 62140
Episode 15: Reward: 6.0, Length: 4477, Steps: 68463, Memory Length: 66617
Episode 16: Reward: 17.0, Length: 4435, Steps: 73391, Memory Length: 71052
Episode 17: Reward: 45.0, Length: 4447, Steps: 78332, Memory Length: 75499
Episode 18: Reward: 33.0, Length: 4461, Steps: 83288, Memory Length: 79960
Episode 19: Reward: 7.0, Length: 4473, Steps: 88258, Memory Length: 84433
Episode 20: Reward: 3.0, Length: 4444, Steps: 93196, Memory Length: 88877
Episode 21: Reward: 18.0, Length: 4435, Steps: 98124, Memory Length: 93312
Episode 22: Reward: 22.0, Length: 4435, Steps: 103052, Memory Length: 97747
Episode 23: Reward: 41.0, Length: 4422, Steps: 107965, Memory Length: 102169
Episode 24: Reward: 61.0, Length: 4455, Steps: 112915, Memory Length: 106624
Episode 25: Reward: 23.0, Length: 4447, Steps: 117856, Memory Length: 111071
Episode 26: Reward: 0.0, Length: 4393, Steps: 122737, Memory Length: 115464
Episode 27: Reward: 0.0, Length: 4423, Steps: 127652, Memory Length: 119887
Episode 28: Reward: 6.0, Length: 4451, Steps: 132597, Memory Length: 124338
Episode 29: Reward: 30.0, Length: 4425, Steps: 137514, Memory Length: 128763
Episode 30: Reward: 15.0, Length: 4419, Steps: 142424, Memory Length: 133182
Episode 31: Reward: 30.0, Length: 4445, Steps: 147363, Memory Length: 137627
Episode 32: Reward: 13.0, Length: 4438, Steps: 152294, Memory Length: 142065
Episode 33: Reward: 22.0, Length: 4429, Steps: 157215, Memory Length: 146494
Episode 34: Reward: 0.0, Length: 4461, Steps: 162172, Memory Length: 150955
Episode 35: Reward: 0.0, Length: 4432, Steps: 167096, Memory Length: 155387
Episode 36: Reward: 21.0, Length: 4426, Steps: 172014, Memory Length: 159813
Episode 37: Reward: 21.0, Length: 4404, Steps: 176907, Memory Length: 164217
Episode 38: Reward: 37.0, Length: 4436, Steps: 181836, Memory Length: 168653
Episode 39: Reward: 21.0, Length: 4439, Steps: 186768, Memory Length: 173092
Episode 40: Reward: 4.0, Length: 4421, Steps: 191681, Memory Length: 177513
Episode 41: Reward: 26.0, Length: 4406, Steps: 196576, Memory Length: 181919
Episode 42: Reward: 0.0, Length: 4454, Steps: 201525, Memory Length: 186373
Episode 43: Reward: 0.0, Length: 4451, Steps: 206471, Memory Length: 190824
Episode 44: Reward: 11.0, Length: 4447, Steps: 211412, Memory Length: 195271
Episode 45: Reward: 6.0, Length: 4476, Steps: 216385, Memory Length: 199747
Episode 46: Reward: 0.0, Length: 4428, Steps: 221305, Memory Length: 204175
Episode 47: Reward: 0.0, Length: 4415, Steps: 226211, Memory Length: 208590
Episode 48: Reward: 0.0, Length: 4436, Steps: 231139, Memory Length: 213026
Episode 49: Reward: 0.0, Length: 4441, Steps: 236074, Memory Length: 217467
Episode 50: Reward: 0.0, Length: 4453, Steps: 241022, Memory Length: 221920
Episode 51: Reward: 0.0, Length: 4423, Steps: 245936, Memory Length: 226343
Average Reward over 5 episodes: 0.0
Episode 52: Reward: 0.0, Length: 4459, Steps: 250891, Memory Length: 230802
Episode 53: Reward: 0.0, Length: 4444, Steps: 255828, Memory Length: 235246
Episode 54: Reward: 0.0, Length: 4428, Steps: 260748, Memory Length: 239674
Episode 55: Reward: 0.0, Length: 4474, Steps: 265719, Memory Length: 244148
Episode 56: Reward: 0.0, Length: 4427, Steps: 270638, Memory Length: 248575
Episode 57: Reward: 22.0, Length: 4420, Steps: 275549, Memory Length: 252995
Episode 58: Reward: 24.0, Length: 4459, Steps: 280504, Memory Length: 257454
Episode 59: Reward: 0.0, Length: 4438, Steps: 285435, Memory Length: 261892
Episode 60: Reward: 7.0, Length: 4409, Steps: 290334, Memory Length: 266301
Episode 61: Reward: 37.0, Length: 4476, Steps: 295307, Memory Length: 270777
Episode 62: Reward: 10.0, Length: 4443, Steps: 300244, Memory Length: 275220
Episode 63: Reward: 31.0, Length: 4440, Steps: 305177, Memory Length: 279660
Episode 64: Reward: 20.0, Length: 4409, Steps: 310076, Memory Length: 284069
Episode 65: Reward: 0.0, Length: 4456, Steps: 315027, Memory Length: 288525
Episode 66: Reward: 0.0, Length: 4404, Steps: 319921, Memory Length: 292929
Episode 67: Reward: 37.0, Length: 4433, Steps: 324846, Memory Length: 297362
Episode 68: Reward: 34.0, Length: 4482, Steps: 329826, Memory Length: 301844
Episode 69: Reward: 3.0, Length: 4428, Steps: 334746, Memory Length: 306272
Episode 70: Reward: 15.0, Length: 4444, Steps: 339684, Memory Length: 310716
Episode 71: Reward: 36.0, Length: 4441, Steps: 344618, Memory Length: 315157
Episode 72: Reward: 31.0, Length: 4448, Steps: 349561, Memory Length: 319605
Episode 73: Reward: 0.0, Length: 4446, Steps: 354501, Memory Length: 324051
Episode 74: Reward: 0.0, Length: 4424, Steps: 359416, Memory Length: 328475
Episode 75: Reward: 16.0, Length: 4441, Steps: 364351, Memory Length: 332916
Episode 76: Reward: 10.0, Length: 4421, Steps: 369263, Memory Length: 337337
Episode 77: Reward: 27.0, Length: 4432, Steps: 374187, Memory Length: 341769
Episode 78: Reward: 28.0, Length: 4436, Steps: 379116, Memory Length: 346205
Episode 79: Reward: 0.0, Length: 4432, Steps: 384041, Memory Length: 350637
Episode 80: Reward: 0.0, Length: 4406, Steps: 388936, Memory Length: 355043
Episode 81: Reward: 0.0, Length: 4471, Steps: 393904, Memory Length: 359514
Episode 82: Reward: 0.0, Length: 4463, Steps: 398863, Memory Length: 363977
Episode 83: Reward: 4.0, Length: 4457, Steps: 403815, Memory Length: 368434
Episode 84: Reward: 16.0, Length: 4424, Steps: 408731, Memory Length: 372858
Episode 85: Reward: 0.0, Length: 4449, Steps: 413674, Memory Length: 377307
Episode 86: Reward: 0.0, Length: 4456, Steps: 418625, Memory Length: 381763
Episode 87: Reward: 0.0, Length: 4446, Steps: 423565, Memory Length: 386209
Episode 88: Reward: 0.0, Length: 4480, Steps: 428543, Memory Length: 390689
Episode 89: Reward: 8.0, Length: 4455, Steps: 433493, Memory Length: 395144
Episode 90: Reward: 31.0, Length: 4451, Steps: 438438, Memory Length: 399595
Episode 91: Reward: 11.0, Length: 4451, Steps: 443384, Memory Length: 404046
Episode 92: Reward: 18.0, Length: 4450, Steps: 448328, Memory Length: 408496
Episode 93: Reward: 0.0, Length: 4430, Steps: 453251, Memory Length: 412926
Episode 94: Reward: 0.0, Length: 4419, Steps: 458161, Memory Length: 417345
Episode 95: Reward: 8.0, Length: 4433, Steps: 463086, Memory Length: 421778
Episode 96: Reward: 0.0, Length: 4425, Steps: 468003, Memory Length: 426203
Episode 97: Reward: 0.0, Length: 4444, Steps: 472941, Memory Length: 430647
Episode 98: Reward: 0.0, Length: 4448, Steps: 477883, Memory Length: 435095
Episode 99: Reward: 49.0, Length: 4440, Steps: 482816, Memory Length: 439535
Episode 100: Reward: 36.0, Length: 4438, Steps: 487747, Memory Length: 443973
Episode 101: Reward: 15.0, Length: 4436, Steps: 492676, Memory Length: 448409
Average Reward over 5 episodes: 24.6
Episode 102: Reward: 10.0, Length: 4423, Steps: 497591, Memory Length: 452832
Episode 103: Reward: 14.0, Length: 4468, Steps: 502555, Memory Length: 457300
Episode 104: Reward: 3.0, Length: 4413, Steps: 507458, Memory Length: 461713
Episode 105: Reward: 12.0, Length: 4417, Steps: 512366, Memory Length: 466130
Episode 106: Reward: 30.0, Length: 4425, Steps: 517283, Memory Length: 470555
Episode 107: Reward: 6.0, Length: 4418, Steps: 522192, Memory Length: 474973
Episode 108: Reward: 10.0, Length: 4455, Steps: 527142, Memory Length: 479428
Episode 109: Reward: 0.0, Length: 4450, Steps: 532086, Memory Length: 483878
Episode 110: Reward: 0.0, Length: 4477, Steps: 537061, Memory Length: 488355
Episode 111: Reward: 0.0, Length: 4452, Steps: 542007, Memory Length: 492807
Episode 112: Reward: 0.0, Length: 4450, Steps: 546952, Memory Length: 497257
Episode 113: Reward: 0.0, Length: 4441, Steps: 551886, Memory Length: 501698
Episode 114: Reward: 0.0, Length: 4422, Steps: 556799, Memory Length: 506120
Episode 115: Reward: 2.0, Length: 4449, Steps: 561743, Memory Length: 510569
Episode 116: Reward: 45.0, Length: 4430, Steps: 566665, Memory Length: 514999
Episode 117: Reward: 0.0, Length: 4432, Steps: 571589, Memory Length: 519431
Episode 118: Reward: 0.0, Length: 4446, Steps: 576529, Memory Length: 523877
Episode 119: Reward: 0.0, Length: 4455, Steps: 581479, Memory Length: 528332
Episode 120: Reward: 0.0, Length: 4445, Steps: 586418, Memory Length: 532777
Episode 121: Reward: 5.0, Length: 4432, Steps: 591343, Memory Length: 537209
Episode 122: Reward: 23.0, Length: 4403, Steps: 596235, Memory Length: 541612
Episode 123: Reward: 0.0, Length: 4420, Steps: 601146, Memory Length: 546032
Episode 124: Reward: 0.0, Length: 4445, Steps: 606085, Memory Length: 550477
Episode 125: Reward: 0.0, Length: 4473, Steps: 611055, Memory Length: 554950
Episode 126: Reward: 0.0, Length: 4455, Steps: 616005, Memory Length: 559405
Episode 127: Reward: 0.0, Length: 4452, Steps: 620952, Memory Length: 563857
Episode 128: Reward: 0.0, Length: 4443, Steps: 625888, Memory Length: 568300
Episode 129: Reward: 0.0, Length: 4473, Steps: 630858, Memory Length: 572773
Episode 130: Reward: 0.0, Length: 4411, Steps: 635759, Memory Length: 577184
Episode 131: Reward: 1.0, Length: 4426, Steps: 640677, Memory Length: 581610
Episode 132: Reward: 30.0, Length: 4419, Steps: 645587, Memory Length: 586029
Episode 133: Reward: 6.0, Length: 4481, Steps: 650566, Memory Length: 590510
Episode 134: Reward: 0.0, Length: 4439, Steps: 655498, Memory Length: 594949
Episode 135: Reward: 0.0, Length: 4458, Steps: 660452, Memory Length: 599407
Episode 136: Reward: 0.0, Length: 4437, Steps: 665382, Memory Length: 603844
